Level,NO2_2000,NO2_2010,PM10_2000,PM10_2010,PM25_2000,PM25_2010
Total,"209,068","141,931","331,222","286,531","247,144","190,188"
Urbanized area,"168,392","117,621","237,426","213,318","176,441","140,440"
Urban cluster,"16,118","9,844","32,698","27,503","23,657","17,746"
Rural,"24,558","14,466","61,098","45,710","47,046","32,002"
Not defined,NA,28,NA,55,NA,33
"<$20,000","13,695","5,892","19,783","10,696","14,624","7,415"
"$20,000 to <$35,000","59,575","25,794","98,260","51,251","71,577","34,582"
"$35,000 to <$50,000","60,735","34,549","100,786","72,267","74,851","48,326"
"$50,000 to <$75,000","50,930","40,540","78,677","84,981","59,382","55,719"
">=$75,000","24,131","35,128","33,716","67,281","26,709","44,113"
