STATE,2000,2010,Change
Alabama,"4,447,100","4,779,736",7.48%
Arizona,"5,130,632","6,392,017",24.6%
Arkansas,"2,673,400","2,915,918",9.07%
California,"33,871,648","37,253,956",9.99%
Colorado,"4,301,261","5,029,196",16.9%
Connecticut,"3,405,565","3,574,097",4.95%
Delaware,"783,600","897,934",14.6%
District Of Columbia,"572,059","601,723",5.19%
Florida,"15,982,378","18,801,310",17.6%
Georgia,"8,186,453","9,687,653",18.3%
Idaho,"1,293,953","1,567,582",21.1%
Illinois,"12,419,293","12,830,632",3.31%
Indiana,"6,080,485","6,483,802",6.63%
Iowa,"2,926,324","3,046,355",4.10%
Kansas,"2,688,418","2,853,118",6.13%
Kentucky,"4,041,769","4,339,367",7.36%
Louisiana,"4,468,976","4,533,372",1.44%
Maine,"1,274,923","1,328,361",4.19%
Maryland,"5,296,486","5,773,552",9.01%
Massachusetts,"6,349,097","6,547,629",3.13%
Michigan,"9,938,444","9,883,640",-0.551%
Minnesota,"4,919,479","5,303,925",7.81%
Mississippi,"2,844,658","2,967,297",4.31%
Missouri,"5,595,211","5,988,927",7.04%
Montana,"902,195","989,415",9.67%
Nebraska,"1,711,263","1,826,341",6.72%
Nevada,"1,998,257","2,700,551",35.1%
New Hampshire,"1,235,786","1,316,470",6.53%
New Jersey,"8,414,350","8,791,894",4.49%
New Mexico,"1,819,046","2,059,179",13.2%
New York,"18,976,457","19,378,102",2.12%
North Carolina,"8,049,313","9,535,483",18.5%
North Dakota,"642,200","672,591",4.73%
Ohio,"11,353,140","11,536,504",1.62%
Oklahoma,"3,450,654","3,751,351",8.71%
Oregon,"3,421,399","3,831,074",12.0%
Pennsylvania,"12,281,054","12,702,379",3.43%
Rhode Island,"1,048,319","1,052,567",0.405%
South Carolina,"4,012,012","4,625,364",15.3%
South Dakota,"754,844","814,180",7.86%
Tennessee,"5,689,283","6,346,105",11.5%
Texas,"20,851,820","25,145,561",20.6%
Utah,"2,233,169","2,763,885",23.8%
Vermont,"608,827","625,741",2.78%
Virginia,"7,078,515","8,001,024",13.0%
Washington,"5,894,121","6,724,540",14.1%
West Virginia,"1,808,344","1,852,994",2.47%
Wisconsin,"5,363,675","5,686,986",6.03%
Wyoming,"493,782","563,626",14.1%
