Level,NO2_2000,NO2_2010,PM10_2000,PM10_2010,PM25_2000,PM25_2010
Total,"209,100","141,900","379,400","331,600","247,100","190,200"
Urbanized area,"168,400","117,600","271,100","246,600","176,400","140,400"
Urban cluster,"16,100","9,800","37,600","31,800","23,700","17,700"
Rural,"24,600","14,500","70,600","53,300","47,000","32,000"
Not defined,NA,0,NA,100,NA,0
"<$20,000","13,700","5,900","22,600","12,400","14,600","7,400"
"$20,000 to <$35,000","59,600","25,800","112,300","59,200","71,600","34,600"
"$35,000 to <$50,000","60,700","34,500","115,500","83,600","74,900","48,300"
"$50,000 to <$75,000","50,900","40,500","90,200","98,400","59,400","55,700"
">=$75,000","24,100","35,100","38,800","78,000","26,700","44,100"
