Level,IC_2000,IC_2010,AC_NO2_2000,AC_NO2_2010,AC_PM10_2000,AC_PM10_2010,AC_PM25_2000,AC_PM25_2010,AF_NO2_2000,AF_NO2_2010,AF_PM10_2000,AF_PM10_2010,AF_PM25_2000,AF_PM25_2010
Total,"786,300","794,900","209,100","141,900","331,200","286,500","247,100","190,200",27%,18%,42%,36%,31%,24%
Urbanized area,"537,200","571,000","168,400","117,600","237,400","213,300","176,400","140,400",31%,21%,44%,37%,33%,25%
Urban cluster,"81,600","75,500","16,100","9,800","32,700","27,500","23,700","17,700",20%,13%,40%,36%,29%,23%
Rural,"167,600","148,500","24,600","14,500","61,100","45,700","47,000","32,000",15%,10%,36%,31%,28%,22%
Not defined,"NA",100,"NA",0,"NA",100,"NA",0,NA%,0%,NA%,100%,NA%,0%
"<$20,000","44,400","28,200","13,700","5,900","19,800","10,700","14,600","7,400",31%,21%,45%,38%,33%,26%
"$20,000 to <$35,000","226,600","137,800","59,600","25,800","98,300","51,300","71,600","34,600",26%,19%,43%,37%,32%,25%
"$35,000 to <$50,000","240,600","200,400","60,700","34,500","100,800","72,300","74,900","48,300",25%,17%,42%,36%,31%,24%
"$50,000 to <$75,000","190,000","236,800","50,900","40,500","78,700","85,000","59,400","55,700",27%,17%,41%,36%,31%,24%
">=$75,000","84,700","191,600","24,100","35,100","33,700","67,300","26,700","44,100",28%,18%,40%,35%,32%,23%
