Level,IC_2000,IC_2010,AC_NO2_2000,AC_NO2_2010,AC_PM10_2000,AC_PM10_2010,AC_PM25_2000,AC_PM25_2010,AF_NO2_2000,AF_NO2_2010,AF_PM10_2000,AF_PM10_2010,AF_PM25_2000,AF_PM25_2010
Alabama,"12,300","12,200","2,300","1,400","6,100","4,800","4,500","3,200",19%,11%,50%,39%,37%,26%
Arizona,"15,000","17,600","4,900","3,800","9,500","9,200","3,600","3,000",33%,22%,63%,52%,24%,17%
Arkansas,"7,500","7,700","1,200",900,"3,400","3,100","2,300","2,100",16%,12%,45%,40%,31%,27%
California,"101,300","100,300","39,300","25,400","59,700","47,400","37,700","24,400",39%,25%,59%,47%,37%,24%
Colorado,"12,100","13,200","3,800","3,100","5,300","5,800","2,300","2,200",31%,23%,44%,44%,19%,17%
Connecticut,"9,200","8,800","2,600","1,600","3,500","2,900","2,700","1,900",28%,18%,38%,33%,29%,22%
Delaware,"2,100","2,200",500,400,900,900,700,600,24%,18%,43%,41%,33%,27%
District Of Columbia,"1,300","1,100",500,300,600,400,500,300,38%,27%,46%,36%,38%,27%
Florida,"39,900","43,200","8,700","5,500","17,900","16,300","11,000","8,700",22%,13%,45%,38%,28%,20%
Georgia,"23,800","26,900","5,000","3,900","11,100","10,300","9,000","7,600",21%,14%,47%,38%,38%,28%
Idaho,"4,000","4,600",700,600,"2,000","1,700",800,700,18%,13%,50%,37%,20%,15%
Illinois,"35,500","33,800","12,000","8,300","18,600","16,200","12,800","9,700",34%,25%,52%,48%,36%,29%
Indiana,"17,200","17,300","4,800","3,100","8,100","8,200","6,200","5,200",28%,18%,47%,47%,36%,30%
Iowa,"8,000","7,900","1,300","1,000","4,000","3,800","2,100","2,000",16%,13%,50%,48%,26%,25%
Kansas,"7,800","7,800","1,400","1,100","3,900","3,700","2,100","1,800",18%,14%,50%,47%,27%,23%
Kentucky,"10,900","11,000","2,500","1,600","5,400","4,400","4,000","3,200",23%,15%,50%,40%,37%,29%
Louisiana,"13,400","12,100","2,500","1,400","6,000","5,000","4,200","3,000",19%,12%,45%,41%,31%,25%
Maine,"3,300","3,000",400,200,"1,000",800,700,400,12%,7%,30%,27%,21%,13%
Maryland,"14,900","14,600","4,000","2,800","6,300","5,600","5,200","3,700",27%,19%,42%,38%,35%,25%
Massachusetts,"16,400","15,300","4,300","2,500","6,300","4,700","4,500","3,200",26%,16%,38%,31%,27%,21%
Michigan,"28,400","25,300","7,000","4,200","12,700","9,600","9,000","5,700",25%,17%,45%,38%,32%,23%
Minnesota,"14,100","13,900","2,900","2,100","6,400","6,400","3,800","3,000",21%,15%,45%,46%,27%,22%
Mississippi,"8,500","8,200","1,300",800,"3,400","3,000","2,700","2,000",15%,10%,40%,37%,32%,24%
Missouri,"15,600","15,400","2,700","1,800","7,600","6,800","4,900","4,100",17%,12%,49%,44%,31%,27%
Montana,"2,500","2,400",300,200,"1,100",900,600,400,12%,8%,44%,38%,24%,17%
Nebraska,"4,900","5,000",900,600,"2,700","2,500","1,200","1,100",18%,12%,55%,50%,24%,22%
Nevada,"5,600","7,200","1,500","1,400","3,200","3,000","1,100","1,100",27%,19%,57%,42%,20%,15%
New Hampshire,"3,400","3,100",600,300,900,800,700,500,18%,10%,26%,26%,21%,16%
New Jersey,"22,900","22,300","8,200","5,400","10,600","9,700","7,400","5,300",36%,24%,46%,43%,32%,24%
New Mexico,"5,600","5,600","1,100",900,"2,300","2,200",800,700,20%,16%,41%,39%,14%,12%
New York,"51,400","46,700","19,400","11,800","24,100","18,800","16,200","10,900",38%,25%,47%,40%,32%,23%
North Carolina,"21,500","24,600","4,100","3,200","9,700","8,800","7,400","6,200",19%,13%,45%,36%,34%,25%
North Dakota,"1,800","1,600",200,100,700,700,300,300,11%,6%,39%,44%,17%,19%
Ohio,"31,600","29,500","8,400","5,000","15,400","13,300","11,700","8,800",27%,17%,49%,45%,37%,30%
Oklahoma,"9,800","10,000","1,800","1,300","4,900","4,500","2,600","2,400",18%,13%,50%,45%,27%,24%
Oregon,"9,300","9,300","2,000","1,300","3,700","2,900","2,000","1,500",22%,14%,40%,31%,22%,16%
Pennsylvania,"32,000","30,100","9,600","6,000","15,200","11,900","11,000","7,800",30%,20%,48%,40%,34%,26%
Rhode Island,"2,700","2,400",700,400,"1,100",800,800,500,26%,17%,41%,33%,30%,21%
South Carolina,"11,100","11,700","1,800","1,300","5,100","4,100","3,800","3,000",16%,11%,46%,35%,34%,26%
South Dakota,"2,200","2,200",200,200,900,900,400,400,9%,9%,41%,41%,18%,18%
Tennessee,"15,300","16,100","3,400","2,500","7,800","6,400","5,600","4,400",22%,16%,51%,40%,37%,27%
Texas,"64,500","74,100","12,900","10,700","32,000","32,400","18,100","18,300",20%,14%,50%,44%,28%,25%
Utah,"7,900","9,400","2,300","1,900","4,100","4,400","1,800","2,000",29%,20%,52%,47%,23%,21%
Vermont,"1,600","1,400",300,100,500,300,300,200,19%,7%,31%,21%,19%,14%
Virginia,"19,000","20,000","4,600","3,400","8,000","7,300","6,300","5,000",24%,17%,42%,36%,33%,25%
Washington,"16,600","17,100","3,900","3,000","6,700","5,400","3,900","2,700",23%,18%,40%,32%,23%,16%
West Virginia,"4,400","4,200",900,600,"1,900","1,700","1,500","1,100",20%,14%,43%,40%,34%,26%
Wisconsin,"15,000","14,400","3,100","2,100","6,500","6,300","4,200","3,600",21%,15%,43%,44%,28%,25%
Wyoming,"1,400","1,500",200,100,600,500,200,200,14%,7%,43%,33%,14%,13%
