Level,2000,2010
Alabama,"12,300","12,200"
Arizona,"15,000","17,600"
Arkansas,"7,500","7,700"
California,"101,300","100,300"
Colorado,"12,100","13,200"
Connecticut,"9,200","8,800"
Delaware,"2,100","2,200"
District Of Columbia,"1,300","1,100"
Florida,"39,900","43,200"
Georgia,"23,800","26,900"
Idaho,"4,000","4,600"
Illinois,"35,500","33,800"
Indiana,"17,200","17,300"
Iowa,"8,000","7,900"
Kansas,"7,800","7,800"
Kentucky,"10,900","11,000"
Louisiana,"13,400","12,100"
Maine,"3,300","3,000"
Maryland,"14,900","14,600"
Massachusetts,"16,400","15,300"
Michigan,"28,400","25,300"
Minnesota,"14,100","13,900"
Mississippi,"8,500","8,200"
Missouri,"15,600","15,400"
Montana,"2,500","2,400"
Nebraska,"4,900","5,000"
Nevada,"5,600","7,200"
New Hampshire,"3,400","3,100"
New Jersey,"22,900","22,300"
New Mexico,"5,600","5,600"
New York,"51,400","46,700"
North Carolina,"21,500","24,600"
North Dakota,"1,800","1,600"
Ohio,"31,600","29,500"
Oklahoma,"9,800","10,000"
Oregon,"9,300","9,300"
Pennsylvania,"32,000","30,100"
Rhode Island,"2,700","2,400"
South Carolina,"11,100","11,700"
South Dakota,"2,200","2,200"
Tennessee,"15,300","16,100"
Texas,"64,500","74,100"
Utah,"7,900","9,400"
Vermont,"1,600","1,400"
Virginia,"19,000","20,000"
Washington,"16,600","17,100"
West Virginia,"4,400","4,200"
Wisconsin,"15,000","14,400"
Wyoming,"1,400","1,500"
